Date,Close/Last,Volume,Open,High,Low
11/12/2015,41.75,501174,43.05,43.33,41.54
11/11/2015,42.93,452568,43.63,44.11,42.62
11/10/2015,44.21,390592,43.65,44.76,43.57
11/09/2015,43.87,436315,44.52,45.12,43.64
11/06/2015,44.29,395333,45.41,45.64,44.11
11/05/2015,45.20,416027,45.41,46.65,45.12
11/04/2015,46.32,433311,47.74,48.28,46.17
11/03/2015,47.90,410245,46.11,48.36,45.96
11/02/2015,46.14,289655,46.43,46.73,45.56
10/30/2015,46.59,337950,45.74,47.03,45.48
10/29/2015,46.06,422004,46.06,46.79,45.16
10/28/2015,45.94,499092,43.44,46.22,43.06
10/27/2015,43.20,349951,43.78,43.91,42.58
10/26/2015,43.98,283964,43.81,44.94,43.64
10/23/2015,44.60,385660,45.44,45.75,44.20
10/22/2015,45.38,306760,45.27,46.10,44.90
10/21/2015,45.20,364665,45.88,46.08,44.86
10/20/2015,45.55,30638,46.25,46.52,45.23
10/19/2015,45.89,87900,47.27,47.49,45.85
10/16/2015,47.26,183768,46.87,47.50,46.16
10/15/2015,46.38,345428,46.28,47.02,45.23
10/14/2015,46.64,325441,46.69,46.96,45.94
10/13/2015,46.66,420099,47.46,48.43,46.44
10/12/2015,47.10,369683,49.51,50.13,47.04
10/09/2015,49.63,456959,49.69,50.92,49.17
10/08/2015,49.43,450953,48.11,50.07,47.76
10/07/2015,47.81,490070,49.00,49.71,47.70
10/06/2015,48.53,413132,46.20,49.08,45.73
10/05/2015,46.26,302204,45.65,46.94,45.21
10/02/2015,45.54,393636,45.07,45.81,43.97
10/01/2015,44.74,455169,45.38,47.10,44.63
09/30/2015,45.09,333348,44.92,45.85,44.68
09/29/2015,45.23,248011,44.50,45.70,44.30
09/28/2015,44.43,260119,45.38,45.50,44.30
09/25/2015,45.70,321601,45.05,46.38,44.86
09/24/2015,44.91,353940,44.62,45.18,43.71
09/23/2015,44.48,392838,46.54,47.15,44.41
09/22/2015,45.83,21530,46.45,46.48,45.14
09/21/2015,46.68,75129,44.97,46.74,44.69
09/18/2015,44.68,196627,46.89,47.03,44.24
09/17/2015,46.90,343530,47.13,47.71,46.33
09/16/2015,47.15,396264,45.16,47.35,44.82
09/15/2015,44.59,313959,44.11,45.25,43.92
09/14/2015,44.00,292563,44.78,44.97,43.59
09/11/2015,44.63,353264,45.71,45.88,44.16
09/10/2015,45.92,443786,44.16,46.04,43.36
09/09/2015,44.15,373529,45.79,46.26,44.05
09/08/2015,45.94,461189,44.25,46.41,44.14
09/07/2015,46.05,N/A,46.05,46.05,46.05
09/04/2015,46.05,8791,45.82,45.94,45.15
09/03/2015,46.75,514246,46.11,48.42,45.65
09/02/2015,46.25,670392,44.26,46.77,43.21
09/01/2015,45.41,668072,48.10,48.87,44.15
08/31/2015,49.20,719704,48.05,49.33,43.60
08/28/2015,45.22,637223,42.68,45.90,41.78
08/27/2015,42.56,500275,42.63,42.86,38.95
08/26/2015,38.60,353257,39.69,39.86,38.52
08/25/2015,39.31,356278,38.18,39.89,38.16
08/24/2015,38.24,442604,40.30,40.47,37.75
08/21/2015,40.45,361052,41.03,41.40,39.86
08/20/2015,41.14,19143,40.58,41.48,40.21
08/19/2015,40.80,70500,42.41,42.68,40.40
08/18/2015,42.62,177638,41.88,42.90,41.43
08/17/2015,41.87,289679,42.18,42.69,41.64
08/14/2015,42.50,290512,42.23,42.96,41.35
08/13/2015,42.23,376021,43.34,43.72,41.91
08/12/2015,43.30,454724,43.27,43.87,42.80
08/11/2015,43.08,477862,44.81,45.34,42.69
08/10/2015,44.96,434098,43.58,45.01,43.35
08/07/2015,43.87,349900,44.82,45.16,43.70
08/06/2015,44.66,326073,45.16,45.27,44.20
08/05/2015,45.15,348824,45.96,46.70,44.83
08/04/2015,45.74,265616,45.35,46.23,45.29
08/03/2015,45.17,348870,46.86,46.94,45.08
07/31/2015,47.12,304355,48.47,48.62,46.70
07/30/2015,48.52,236569,48.83,49.36,48.34
07/29/2015,48.79,350290,47.81,49.52,47.39
07/28/2015,47.98,317209,47.02,48.44,46.68
07/27/2015,47.39,258654,48.00,48.20,46.91
07/24/2015,48.14,259273,48.79,49.03,47.72
07/23/2015,48.45,298819,49.23,49.63,48.21
07/22/2015,49.19,327182,50.71,50.71,49.04
07/21/2015,50.36,18924,49.95,51.02,49.77
07/20/2015,50.15,74953,50.76,51.26,49.85
07/17/2015,50.89,189905,50.91,51.23,50.14
07/16/2015,50.91,302418,51.62,52.17,50.84
07/15/2015,51.41,310212,53.40,53.50,51.21
07/14/2015,53.04,396408,52.00,53.43,50.88
07/13/2015,52.20,330358,52.15,53.17,51.26
07/10/2015,52.74,310050,52.48,53.89,51.96
07/09/2015,52.78,336297,51.83,53.54,51.48
07/08/2015,51.65,392837,52.91,52.96,50.91
07/07/2015,52.33,485117,52.75,53.43,50.58
07/06/2015,52.53,430376,54.90,55.34,52.41
07/03/2015,56.93,N/A,56.93,56.93,56.93
07/02/2015,56.93,1021,56.42,56.62,56.40
07/01/2015,56.96,346907,58.98,58.98,56.68
06/30/2015,59.47,257125,58.27,59.69,57.94
06/29/2015,58.33,266637,58.84,59.27,58.04
06/26/2015,59.63,214572,59.66,59.96,58.76
06/25/2015,59.70,206065,60.22,60.46,59.43
06/24/2015,60.27,300436,61.14,61.57,59.80
06/23/2015,61.01,307582,60.21,61.49,59.55
06/22/2015,59.68,19951,59.50,60.30,58.93
06/19/2015,59.61,84088,60.50,60.56,58.88
06/18/2015,60.45,165748,59.78,60.89,59.25
06/17/2015,59.92,372750,60.03,61.38,58.85
06/16/2015,59.97,217112,59.60,60.37,59.42
06/15/2015,59.52,248192,59.90,59.98,58.73
06/12/2015,59.96,229986,60.55,60.63,59.73
06/11/2015,60.77,307887,61.14,61.53,60.21
06/10/2015,61.43,414873,60.58,61.82,60.45
06/09/2015,60.14,356531,58.31,60.68,58.23
06/08/2015,58.14,289884,58.96,59.13,57.86
06/05/2015,59.13,417582,57.99,59.23,56.83
06/04/2015,58.00,337750,59.57,59.94,57.83
06/03/2015,59.64,354407,61.02,61.43,59.34
06/02/2015,61.26,325131,60.18,61.58,60.09
06/01/2015,60.20,266875,60.29,60.64,59.33
05/29/2015,60.30,424444,57.97,60.70,57.72
05/28/2015,57.68,321304,57.63,58.07,56.51
05/27/2015,57.51,297136,58.32,58.95,57.36
05/26/2015,58.03,311781,59.83,60.25,57.71
05/25/2015,59.72,N/A,59.72,59.72,59.72
05/22/2015,59.72,210773,60.66,60.80,59.35
05/21/2015,60.72,307405,58.81,60.94,58.69
05/20/2015,58.98,270182,58.32,59.04,58.10
05/19/2015,57.26,24691,59.54,59.63,57.09
05/18/2015,59.43,100923,59.85,60.88,59.06
05/15/2015,59.69,200417,59.67,59.97,58.42
05/14/2015,59.88,322742,60.10,60.84,59.36
05/13/2015,60.50,395159,61.23,61.85,60.02
05/12/2015,60.75,357947,59.27,61.36,59.12
05/11/2015,59.25,300257,59.43,59.85,58.75
05/08/2015,59.39,386995,59.02,59.90,58.14
05/07/2015,58.94,382138,60.69,61.31,58.49
05/06/2015,60.93,392256,60.72,62.58,60.54
05/05/2015,60.40,355173,58.85,61.10,58.63
05/04/2015,58.93,198134,59.30,59.73,58.45
05/01/2015,59.15,222568,59.79,59.90,58.32
04/30/2015,59.63,318442,58.55,59.85,58.38
04/29/2015,58.58,384465,56.93,59.33,56.54
04/28/2015,57.06,269110,56.65,57.83,56.07
04/27/2015,56.99,235680,57.30,57.89,56.52
04/24/2015,57.15,308600,57.53,57.95,56.50
04/23/2015,57.74,393974,56.28,58.41,55.76
